feature,importance
high_lag1,0.013324844
adj_close_lag1,0.012702221
ADX_pos,0.012416794
return_mean_20d,0.012367974
adj_close_lag3,0.011652982
Volume_SMA_20,0.011641982
BB_high,0.011395345
volume_mean_5d,0.011214811
UO,0.010836321
WillR_14,0.010716573
KC_high,0.010537362
low_lag7,0.010497497
BB_mid,0.010377868
close_min_20d,0.010306852
close_mean_10d,0.010295514
volume_lag10,0.010155716
return_std_10d,0.010046457
Stoch_k,0.009917549
Close_to_EMA20,0.00985186
Close_to_EMA50,0.009758974
CMF_20,0.00972436
daily_return_lag7,0.009604711
low,0.009577369
ADX_14,0.009516613
high_lag3,0.009497491
realized_vol_10d,0.009389342
volume_std_10d,0.009311339
return_mean_10d,0.009224328
ROC_to_ATR,0.00920618
price_position_10d,0.009202453
high_lag5,0.009170957
pct_from_high_5d,0.009157479
RSI_slope_5d,0.009130786
hl_pct_10d,0.009107374
low_lag10,0.009075165
Stoch_K_D_diff,0.009058443
volume_mean_20d,0.009005304
low_lag1,0.008971486
BB_position,0.008913937
pct_from_low_10d,0.008795348
low_lag5,0.008787529
close_std_10d,0.008711972
MACD_signal,0.008622972
volume_lag2,0.0085971095
RSI_14,0.008589148
adj_close,0.008556906
close_std_5d,0.008506675
DC_high,0.008490844
MACD,0.008476587
MFI_14,0.008440544
realized_vol_20d,0.008440272
close_max_10d,0.0084273
volume_lag7,0.008359798
volume_std_5d,0.008312767
BB_width_pct,0.008302744
MACD_diff,0.008299585
volume_change,0.008207284
return_20d,0.00820044
daily_return_lag1,0.008037153
volume_lag5,0.008009637
volume_mean_10d,0.007980199
return_std_5d,0.0079711005
adj_close_lag5,0.007960304
month_sin,0.007941316
CCI_20,0.007927819
daily_return_lag2,0.007883919
volume_price_trend,0.007870238
adj_close_lag7,0.007845182
return_10d,0.00783809
volume_ratio_5d,0.007836983
efficiency_ratio_10d,0.007827719
date_days,0.007788323
dow_cos,0.007697966
daily_return_lag10,0.007630315
return_std_20d,0.007619466
Stoch_change,0.0075494293
open,0.007459155
ATR_14,0.0074524265
low_lag2,0.0074435277
BB_width,0.007404539
ROC_10,0.007385589
DC_mid,0.007371118
RSI_change,0.007275735
adj_close_lag10,0.007263377
ADX_neg,0.0071295775
Stoch_d,0.0070586386
month_cos,0.0070083477
pct_from_high_10d,0.0069567794
daily_return_lag5,0.006896154
volume,0.0068881186
KC_width,0.006772238
daily_return_lag3,0.0067605106
BB_low,0.0067370026
volume_ratio_20d,0.006679578
volume_lag1,0.0066740727
volume_ratio_10d,0.0066152457
hl_pct_5d,0.006540481
hl_pct_20d,0.006512994
pct_from_low_5d,0.0065126647
High_Low_Spread,0.006463408
volume_change_5d,0.006441627
EMA_50,0.006422497
daily_return,0.0063713123
MACD_to_signal_ratio,0.006364116
low_lag3,0.006227285
volume_std_20d,0.006216484
OBV,0.006163003
price_position_5d,0.006136975
volume_lag3,0.0060060984
MACD_acceleration,0.005900205
price_position_20d,0.005846517
return_mean_5d,0.005810325
close_min_10d,0.005715508
high_lag7,0.0056219124
close_std_20d,0.0055543133
dow_sin,0.005530725
pct_from_low_20d,0.005493083
return_5d,0.005439001
return_3d,0.0050341715
pct_from_high_20d,0.005033137
close_max_5d,0.004825467
EMA_20,0.004780777
EMA20_to_EMA50,0.0039780014
return_2d,0.0036245803
high_lag2,0.0
high_lag10,0.0
close_mean_5d,0.0
KC_low,0.0
close_min_5d,0.0
DC_low,0.0
KC_position,0.0
close_mean_20d,0.0
high,0.0
close_max_20d,0.0
adj_close_lag2,0.0
KC_mid,0.0
