feature,importance
close_std_26d,0.027470177
BB_width_pct,0.024664039
RSI_14,0.02253944
return_mean_26d,0.021182148
volume_price_trend,0.020693623
volume_change,0.019294662
ADX_pos,0.018814348
price_position_26d,0.0178877
DC_low,0.01780626
OBV,0.017765041
pct_from_high_13d,0.017671404
high,0.01765933
KC_width,0.017553594
return_std_26d,0.017451735
return_mean_65d,0.01743503
volume_std_65d,0.017132241
return_65d,0.016827924
volume_mean_26d,0.016709708
ATR_14,0.016646767
EMA20_to_EMA50,0.016560659
volume_mean_65d,0.01620772
BB_mid,0.01610094
UO,0.01607129
daily_return,0.016032603
price_position_13d,0.01600532
return_13d,0.015955541
efficiency_ratio_10d,0.015766174
dow_sin,0.015544212
return_std_6d,0.015507314
close_std_65d,0.015481676
price_position_6d,0.014997384
time_progression,0.014840864
pct_from_low_65d,0.014564412
volume_lag26,0.014533015
pct_from_low_26d,0.014200891
Stoch_k,0.014088442
open,0.013920537
low,0.01369025
daily_return_lag2,0.013625542
price_position_65d,0.013604262
Stoch_K_D_diff,0.01357693
hl_pct_13d,0.013391452
volume_lag3,0.013359817
BB_width,0.013252155
MACD_signal,0.01305283
Volume_SMA_20,0.012756923
close_std_6d,0.0127426395
month_sin,0.012693339
RSI_change,0.012502364
volume_change_6d,0.012415672
ADX_14,0.012400845
close_std_13d,0.012321606
volume_lag2,0.012280008
return_std_13d,0.012240418
volume_std_26d,0.011537803
daily_return_lag6,0.011402391
High_Low_Spread,0.010648312
EMA_50,0.010477737
return_std_65d,0.01043389
volume_ratio_6d,0.01008075
pct_from_high_26d,0.010038428
volume_lag1,0.009352662
MACD_to_signal_ratio,0.008712152
volume_std_6d,0.008415546
Stoch_change,0.00774063
MACD,0.00692594
BB_position,0.0066103158
DC_mid,0.0064845686
volume_lag6,0.0059158164
EMA_20,0.0057319007
KC_low,0.0
KC_high,0.0
close_max_65d,0.0
WillR_14,0.0
CCI_20,0.0
ADX_neg,0.0
close_max_6d,0.0
MFI_14,0.0
return_mean_6d,0.0
KC_mid,0.0
BB_low,0.0
volume_mean_6d,0.0
CMF_20,0.0
close_min_6d,0.0
RSI_slope_5d,0.0
month_cos,0.0
dow_cos,0.0
minute_cos,0.0
minute_sin,0.0
hour_cos,0.0
hour_sin,0.0
adj_close,0.0
MACD_acceleration,0.0
volume,0.0
KC_position,0.0
ROC_to_ATR,0.0
return_6d,0.0
return_26d,0.0
Close_to_EMA50,0.0
Close_to_EMA20,0.0
ROC_10,0.0
close_mean_6d,0.0
DC_high,0.0
BB_high,0.0
low_lag13,0.0
Stoch_d,0.0
return_mean_13d,0.0
adj_close_lag1,0.0
realized_vol_26d,0.0
realized_vol_13d,0.0
hl_pct_65d,0.0
hl_pct_26d,0.0
hl_pct_6d,0.0
volume_ratio_65d,0.0
volume_ratio_26d,0.0
volume_ratio_13d,0.0
pct_from_high_65d,0.0
adj_close_lag3,0.0
volume_mean_13d,0.0
volume_std_13d,0.0
pct_from_low_13d,0.0
close_mean_26d,0.0
close_min_26d,0.0
pct_from_low_6d,0.0
pct_from_high_6d,0.0
close_max_26d,0.0
close_mean_65d,0.0
adj_close_lag2,0.0
adj_close_lag6,0.0
close_mean_13d,0.0
high_lag6,0.0
MACD_diff,0.0
low_lag26,0.0
close_min_65d,0.0
low_lag6,0.0
low_lag3,0.0
low_lag2,0.0
low_lag1,0.0
high_lag26,0.0
high_lag13,0.0
high_lag3,0.0
adj_close_lag13,0.0
high_lag2,0.0
high_lag1,0.0
close_min_13d,0.0
volume_lag13,0.0
daily_return_lag26,0.0
close_max_13d,0.0
daily_return_lag3,0.0
daily_return_lag1,0.0
adj_close_lag26,0.0
daily_return_lag13,0.0
