feature,importance
return_10d,0.028495777
volume_ratio_5d,0.02253642
close_mean_20d,0.021646475
volume_std_5d,0.02139447
Close_to_EMA20,0.020917587
BB_high,0.020455156
high_lag1,0.02032062
daily_return_lag7,0.020102827
adj_close_lag1,0.019574882
low_lag7,0.018475767
volume_lag7,0.018211199
low_lag3,0.018011086
return_std_10d,0.01787097
volume_std_10d,0.01775392
realized_vol_10d,0.017692393
CMF_20,0.017381763
daily_return_lag10,0.017377343
ADX_pos,0.017209873
WillR_14,0.016632952
low_lag1,0.016495487
BB_width_pct,0.015696019
volume_lag10,0.015692929
time_progression,0.015323609
volume_mean_20d,0.014963042
volume_change,0.014854459
month_cos,0.014803176
return_mean_20d,0.014782957
adj_close_lag10,0.014733529
OBV,0.0146843335
EMA20_to_EMA50,0.014683288
hl_pct_20d,0.014677043
pct_from_low_5d,0.014560381
MFI_14,0.01455862
return_mean_10d,0.014482269
efficiency_ratio_10d,0.014432112
return_std_5d,0.0143094035
return_40d,0.0139889475
Stoch_change,0.013669764
RSI_change,0.013640831
ADX_neg,0.01349377
daily_return_lag5,0.013333873
volume_price_trend,0.013109761
dow_cos,0.012940865
adj_close_lag3,0.012791625
MACD_diff,0.012280818
close_std_10d,0.012221584
low_lag10,0.01218291
daily_return_lag3,0.012168343
close_mean_10d,0.012134752
hl_pct_5d,0.0121067865
BB_width,0.011828443
Stoch_K_D_diff,0.011601473
close_min_20d,0.011036988
hl_pct_10d,0.011032012
daily_return_lag2,0.010779051
MACD_to_signal_ratio,0.010329631
RSI_slope_5d,0.0096356915
MACD_acceleration,0.009515922
daily_return_lag1,0.009481925
return_5d,0.009287603
high_lag10,0.009164079
Close_to_EMA50,0.009055991
volume_lag2,0.00905164
volume_ratio_10d,0.008999765
volume_ratio_20d,0.00898909
daily_return,0.0083701415
Stoch_d,0.007998616
volume_change_5d,0.007329315
close_std_20d,0.0071928273
volume_lag3,0.007103425
ADX_14,0.006357574
volume_lag5,0.0
High_Low_Spread,0.0
KC_high,0.0
KC_low,0.0
KC_mid,0.0
KC_width,0.0
KC_position,0.0
DC_high,0.0
DC_low,0.0
DC_mid,0.0
UO,0.0
return_std_20d,0.0
close_max_20d,0.0
volume_mean_10d,0.0
close_max_10d,0.0
BB_position,0.0
CCI_20,0.0
close_min_10d,0.0
ROC_to_ATR,0.0
volume_mean_5d,0.0
return_mean_5d,0.0
close_max_5d,0.0
close_min_5d,0.0
close_std_5d,0.0
close_mean_5d,0.0
return_20d,0.0
volume,0.0
dow_sin,0.0
adj_close,0.0
month_sin,0.0
low,0.0
volume_std_20d,0.0
price_position_5d,0.0
high,0.0
MACD,0.0
high_lag2,0.0
high_lag3,0.0
high_lag5,0.0
high_lag7,0.0
volume_lag1,0.0
adj_close_lag7,0.0
low_lag2,0.0
adj_close_lag5,0.0
low_lag5,0.0
adj_close_lag2,0.0
realized_vol_20d,0.0
EMA_20,0.0
EMA_50,0.0
MACD_signal,0.0
pct_from_high_5d,0.0
pct_from_low_20d,0.0
RSI_14,0.0
Stoch_k,0.0
pct_from_high_20d,0.0
ROC_10,0.0
price_position_20d,0.0
BB_low,0.0
BB_mid,0.0
pct_from_low_10d,0.0
ATR_14,0.0
pct_from_high_10d,0.0
Volume_SMA_20,0.0
price_position_10d,0.0
open,0.0
