feature,importance
open,0.0
BB_high,0.0
MACD_signal,0.0
MACD_diff,0.0
RSI_14,0.0
Stoch_k,0.0
Stoch_d,0.0
ROC_10,0.0
BB_low,0.0
high,0.0
BB_mid,0.0
BB_width,0.0
ATR_14,0.0
OBV,0.0
Volume_SMA_20,0.0
MFI_14,0.0
MACD,0.0
EMA_50,0.0
EMA_20,0.0
low_lag10,0.0
low_lag7,0.0
low_lag5,0.0
low_lag3,0.0
low_lag2,0.0
low_lag1,0.0
high_lag10,0.0
high_lag7,0.0
high_lag5,0.0
high_lag3,0.0
high_lag2,0.0
high_lag1,0.0
volume_lag10,0.0
volume_lag7,0.0
ADX_14,0.0
ADX_pos,0.0
ADX_neg,0.0
BB_position,0.0
month_sin,0.0
dow_cos,0.0
dow_sin,0.0
date_days,0.0
efficiency_ratio_10d,0.0
Stoch_change,0.0
Stoch_K_D_diff,0.0
MACD_to_signal_ratio,0.0
MACD_acceleration,0.0
RSI_slope_5d,0.0
RSI_change,0.0
volume_price_trend,0.0
ROC_to_ATR,0.0
BB_width_pct,0.0
High_Low_Spread,0.0
CCI_20,0.0
EMA20_to_EMA50,0.0
Close_to_EMA50,0.0
Close_to_EMA20,0.0
CMF_20,0.0
UO,0.0
DC_mid,0.0
DC_low,0.0
DC_high,0.0
KC_position,0.0
KC_width,0.0
KC_mid,0.0
KC_low,0.0
KC_high,0.0
WillR_14,0.0
volume_lag5,0.0
volume_lag3,0.0
volume_lag2,0.0
volume_mean_5d,0.0
return_mean_20d,0.0
close_max_20d,0.0
close_min_20d,0.0
close_std_20d,0.0
close_mean_20d,0.0
volume_std_10d,0.0
volume_mean_10d,0.0
return_std_10d,0.0
return_mean_10d,0.0
close_max_10d,0.0
close_min_10d,0.0
close_std_10d,0.0
close_mean_10d,0.0
volume_std_5d,0.0
return_std_5d,0.0
volume_mean_20d,0.0
return_mean_5d,0.0
close_max_5d,0.0
close_min_5d,0.0
close_std_5d,0.0
close_mean_5d,0.0
return_20d,0.0
return_10d,0.0
return_5d,0.0
return_3d,0.0
return_2d,0.0
daily_return,0.0
volume,0.0
adj_close,0.0
low,0.0
return_std_20d,0.0
volume_std_20d,0.0
volume_lag1,0.0
hl_pct_20d,0.0
daily_return_lag10,0.0
daily_return_lag7,0.0
daily_return_lag5,0.0
daily_return_lag3,0.0
daily_return_lag2,0.0
daily_return_lag1,0.0
adj_close_lag10,0.0
adj_close_lag7,0.0
adj_close_lag5,0.0
adj_close_lag3,0.0
adj_close_lag2,0.0
adj_close_lag1,0.0
realized_vol_20d,0.0
realized_vol_10d,0.0
hl_pct_10d,0.0
price_position_5d,0.0
hl_pct_5d,0.0
volume_ratio_20d,0.0
volume_ratio_10d,0.0
volume_ratio_5d,0.0
volume_change_5d,0.0
volume_change,0.0
pct_from_low_20d,0.0
pct_from_high_20d,0.0
price_position_20d,0.0
pct_from_low_10d,0.0
pct_from_high_10d,0.0
price_position_10d,0.0
pct_from_low_5d,0.0
pct_from_high_5d,0.0
month_cos,0.0
